id,lon,lat,code,eng,cn,name,web,country,degrees,continent,country_en
91,174.7642,-36.8536,NZ,AUT,奥克兰理工大学,Auckland University of Technology,https://aenz.aut.ac.nz/,新西兰,硕士 博士,大洋洲,New Zealand
92,170.51223,-45.8646,NZ,Otago,奥塔哥大学,University of Otago,https://www.otago.ac.nz/surveying/index.html,新西兰,硕士 博士,大洋洲,New Zealand
93,174.76569,-41.2901,NZ,VUW,惠灵顿维多利亚大学,Victoria University of Wellington,https://www.wgtn.ac.nz/sgees,新西兰,硕士 博士,大洋洲,New Zealand
94,174.77243,-41.29832,NZ,Massey,梅西大学,Massey University,https://www.massey.ac.nz/massey/explore/departments/school-people-environment-planning/school-people-environment-planning_home.cfm,新西兰,硕士,大洋洲,New Zealand
95,103.7782288,1.294045092,SG,NUS,新加坡国立大学,National University of Singapore,https://www.fas.nus.edu.sg/geog/,新加坡,硕士 博士,亚洲,Singapore
96,6.0671997,50.778698,DE,RWTH,亚琛工业大学,RWTH Aachen University,https://www.amur.rwth-aachen.de/cms/~ofpe/AMUR/?lidx=1,德国,硕士 博士,欧洲,Germany
97,8.41484,49.01191,DE,KIT,卡尔斯鲁厄理工学院,Karlsruhe Institute of Technology,https://www.ifgg.kit.edu/english/index.php,德国,硕士 博士,欧洲,Germany
98,9.9516391,51.559196,DE,Gottingen,哥廷根大学,University of Gottingen,https://www.uni-goettingen.de/en/36647.html,德国,硕士 博士,欧洲,Germany
99,10.8984375,48.2831929,DE,Uni-Augsburg,奥格斯堡大学,University of Augsburg ,https://www.uni-augsburg.de/de/fakultaet/fai/geo/,德国,硕士 博士,欧洲,Germany
100,7.8484869,48.00166746,DE,Uni-Freiburg,弗莱堡大学,University of Freiburg,https://geographie.uni-freiburg.de/en/geographie-nahtstelle-zwischen-mensch-und-natur,德国,硕士 博士,欧洲,Germany
101,13.7270737,51.02628073,DE,TUD,德累斯顿工业大学,Technical University of Dresden,https://tu-dresden.de/bu/umwelt,德国,硕士 博士,欧洲,Germany
102,11.5813923,48.15034013,DE,LMU,慕尼黑大学,The Ludwig-Maximilians University,https://www.geographie.uni-muenchen.de/department/fiona_eng/index.php,德国,硕士 博士,欧洲,Germany
103,11.567831,48.14799224,DE,TUM,慕尼黑工业大学,Technical University of Munich,https://www.lrg.tum.de/en/gis/home/,德国,硕士 博士,欧洲,Germany
104,9.1042328,48.7428329,DE,Uni-Stuttgart,斯图加特大学,University of Stuttgart,https://www.ifp.uni-stuttgart.de/en/institute/,德国,硕士 博士,欧洲,Germany
105,7.6002216,51.96674532,DE,Uni-Muenster,明斯特大学,University of Munster,https://www.uni-muenster.de/Geoinformatics/en/,德国,硕士 博士,欧洲,Germany
106,13.3286905,52.51120639,DE,TUB,柏林工业大学,Technical University of Berlin,https://www.igg.tu-berlin.de/menue/ueber_uns/parameter/en/,德国,硕士 博士,欧洲,Germany
107,13.2972336,52.46605036,DE,HUB,柏林洪堡大学,Humboldt University of Berlin,https://www.geographie.hu-berlin.de/en/geography_department,德国,硕士 博士,欧洲,Germany
108,13.2925987,52.45203421,DE,FU Berlin,柏林自由大学,Free University of Berlin,https://www.geo.fu-berlin.de/en/geog/fachrichtungen/index.html,德国,硕士 博士,欧洲,Germany
109,9.9853706,53.56513978,DE,Uni-Hamburg,汉堡大学,University of Hamburg,https://www.geo.uni-hamburg.de/geographie.html,德国,硕士 博士,欧洲,Germany
110,9.7558594,52.29504228,DE,Uni-Hannover,汉诺威大学,University of Hannover,https://www.ikg.uni-hannover.de/en,德国,硕士 博士,欧洲,Germany
111,7.086525,50.72450294,DE,Uni-Bonn,波恩大学,University of Bonn,https://www.geographie.uni-bonn.de/department,德国,硕士 博士,欧洲,Germany
112,13.0132413,52.40019325,DE,Uni-Potsdam,波茨坦大学,University of Potsdam,https://www.uni-potsdam.de/en/umwelt/,德国,硕士 博士,欧洲,Germany
113,8.6713028,49.41432372,DE,Uni-Heidelberg,海德堡大学,Heidelberg University,https://www.geog.uni-heidelberg.de/gis/,德国,硕士 博士,欧洲,Germany
114,6.9349265,50.92662658,DE,Uni-Koeln,科隆大学,University of Cologne,https://geographie.uni-koeln.de/en/,德国,硕士 博士,欧洲,Germany
115,11.5891171,50.92923685,DE,Uni-Jena,耶拿大学,University of Jena,https://www.geographie.uni-jena.de/en,德国,硕士 博士,欧洲,Germany
116,-0.1331127,51.52433193,EN,UCL,伦敦大学学院,University College London,https://www.ucl.ac.uk/bartlett/casa/,英格兰,硕士 博士,欧洲,England
117,-1.5538788,53.80389494,EN,Leeds,利兹大学,University of Leeds,https://environment.leeds.ac.uk/geography,英格兰,硕士 博士,欧洲,England
118,-1.3949203,50.93355091,EN,Southampton,南安普顿大学,University of Southampton,https://www.southampton.ac.uk/geography/index.page,英格兰,硕士 博士,欧洲,England
119,-2.2329712,53.46495632,EN,Manchester,曼彻斯特大学,University of Manchester,https://www.seed.manchester.ac.uk/geography/,英格兰,硕士 博士,欧洲,England
120,-4.289217,55.87165121,ST,Glasgow,格拉斯哥大学,University of Glasgow,https://www.ubdc.ac.uk/,苏格兰,硕士 博士,欧洲,Scotland
121,-3.1751347,55.92227744,ST,Edinburgh,爱丁堡大学,University of Edinburgh,https://www.ed.ac.uk/geosciences,苏格兰,硕士 博士,欧洲,Scotland
122,-1.6152692,54.97939923,EN,Newcastle,纽卡斯尔大学,Newcastle University,https://www.ncl.ac.uk/engineering/research/civil/geomatics,英格兰,硕士 博士,欧洲,England
123,-1.4861584,53.38122934,EN,Sheffield,谢菲尔德大学,The University of Sheffield,https://www.sheffield.ac.uk/geography,英格兰,硕士 博士,欧洲,England
124,-0.1181,51.51148,EN,KCL,伦敦国王学院,King’s College London,https://www.kcl.ac.uk/nms/research/cusp-london,英格兰,硕士 博士,欧洲,England
125,-1.9327,52.4508,EN,UBirm,伯明翰大学,University of Birmingham,https://www.birmingham.ac.uk/schools/gees/index.aspx,英格兰,硕士 博士,欧洲,England
126,-2.78991,54.0103,EN,LanU,兰开斯特大学,Lancaster University,https://www.lancaster.ac.uk/geography/,英格兰,硕士 博士,欧洲,England
127,-2.96748,53.40478,EN,ULiv,利物浦大学,University of Liverpool,https://www.liverpool.ac.uk/geography-and-planning/,英格兰,硕士 博士,欧洲,England
128,-1.19734,52.9386,EN,UNott,诺丁汉大学,University of Nottingham,https://www.nottingham.ac.uk/geography/,英格兰,硕士 博士,欧洲,England
129,5.1771355,52.0845696,NE,Utrecht,乌特勒支大学,Utrecht University,https://www.uu.nl/en/organisation/faculty-of-geosciences,荷兰,硕士 博士,欧洲,Netherlands
130,4.3735886,51.99809331,NE,TU Delft,代尔夫特理工大学,Delft University of Technology,https://www.tudelft.nl/en/architecture-and-the-built-environment/research/research-at-bk-bouwkunde/urbanism/,荷兰,硕士 博士,欧洲,Netherlands
131,6.5631723,53.21911373,NE,Groningen,格罗宁根大学,University of Groningen,https://www.rug.nl/research/ursi/,荷兰,硕士 博士,欧洲,Netherlands
132,6.8561554,52.2376821,NE,Twente,特温特大学,University of Twente,https://www.itc.nl/,荷兰,硕士 博士,欧洲,Netherlands
133,4.8656774,52.33300517,NE,VU Amsterdam,阿姆斯特丹自由大学,Vrije University Amsterdam,https://spinlab.vu.nl/,荷兰,硕士 博士,欧洲,Netherlands
134,8.5073662,47.40706326,CH,ETH Zurich,苏黎世联邦理工学院,Eidgenossische Technische Hochschule Zurich,https://ikg.ethz.ch/en/,瑞士,硕士 博士,欧洲,Switzerland
135,8.5485542,47.37468325,CH,UZH,苏黎世大学,University of Zurich,https://www.geo.uzh.ch/en.html,瑞士,硕士 博士,欧洲,Switzerland
136,6.5657043,46.51883137,CH,EPFL,洛桑联邦理工学院,Ecole Polytechnique Federale de Lausanne,https://www.epfl.ch/labs/lasig/,瑞士,硕士 博士,欧洲,Switzerland
137,6.5811539,46.51918574,CH,Unil,洛桑大学,University of Lausann,https://www.unil.ch/igd/home.html,瑞士,硕士 博士,欧洲,Switzerland
138,7.4286461,46.95204923,CH,Unibe,伯尔尼大学,University of Bern,https://www.geography.unibe.ch/,瑞士,硕士 博士,欧洲,Switzerland
139,6.1442542,46.19947559,CH,Unige,日内瓦大学,University of Geneva,https://www.unige.ch/environnement/en/,瑞士,硕士 博士,欧洲,Switzerland
140,13.2097721,55.71197853,SE,Lund,隆德大学,Lund University,https://www.nateko.lu.se/,瑞典,硕士 博士,欧洲,Sweden
141,18.0718231,59.34877064,SE,KTH,瑞典皇家理工学院,KTH Royal Institute of Technology ,https://www.kth.se/en/som/avdelningar/gis/gis-1.62043,瑞典,硕士 博士,欧洲,Sweden
142,18.0598068,59.36320752,SE,SU,斯德哥尔摩大学,Stockholm University,https://www.natgeo.su.se/,瑞典,硕士 博士,欧洲,Sweden
143,11.9717073,57.69745126,SE,GU,哥德堡大学,University of Gothenburg,https://gvc.gu.se/english,瑞典,硕士 博士,欧洲,Sweden
144,17.1197891,60.66720846,SE,HIG,耶夫勒大学,University of Gavle,https://www.hig.se/Ext/En/University-of-Gavle/Organisation/Akademier/Faculty-of-Engineering-and-Sustainable-Development/Departments-at-the-Faculty/Department-of-Computer-and-Geospatial-Sciences.html,瑞典,硕士,欧洲,Sweden
145,10.7224846,59.93876222,NO,UiO,奥斯陆大学,University of Oslo,https://www.mn.uio.no/geo/english/,挪威,硕士 博士,欧洲,Norway
146,10.407486,63.40946893,NO,NTNU,挪威科技大学,Norwegian University of Science and Technology,https://www.ntnu.edu/ibm/road-transort-and-geomatics,挪威,硕士 博士,欧洲,Norway
147,24.9495649,60.17076288,FI,UH,赫尔辛基大学,University of Helsinki,https://www.helsinki.fi/en/faculty-of-science/faculty/geosciences-and-geography,芬兰,硕士 博士,欧洲,Finland
148,24.8272133,60.18420862,FI,Aalto,阿尔托大学,Aalto University,https://www.aalto.fi/en/department-of-built-environment/geoinformatics,芬兰,硕士 博士,欧洲,Finland
149,12.5598621,55.69867919,DK,KU,哥本哈根大学,University of Copenhagen,https://ign.ku.dk/english/research/geography/,丹麦,硕士 博士,欧洲,Denmark
150,9.9797058,57.01522531,DK,AAU,奥尔堡大学,Aalborg University,https://vbn.aau.dk/en/organisations/arealforvaltning-og-geoinformatik,丹麦,硕士 博士,欧洲,Denmark
151,16.3608313,48.21246297,AT,UWien,维也纳大学,University of Vienna,https://geographie.univie.ac.at/en/working-groups/cartography-and-geographic-information/,奥地利,硕士 博士,欧洲,Austria
152,16.3696504,48.19597385,AT,TU Wien,维也纳工业大学,Vienna University of Technology,https://www.geo.tuwien.ac.at/,奥地利,硕士 博士,欧洲,Austria
153,13.054719,47.79441826,AT,Uni-Salzburg,萨尔茨堡大学,University of Salzburg,https://zgis.at/,奥地利,硕士 博士,欧洲,Austria
154,4.6821284,50.86079399,BE,KU Leuven,荷语鲁汶大学,Katholieke Universiteit Leuven,https://ees.kuleuven.be/geography/,比利时,硕士 博士,欧洲,Belgium
155,4.3974495,50.81905911,BE,VUB,荷语布鲁塞尔自由大学,Vrije Universiteit Brussel,https://we.vub.ac.be/en/geography-department,比利时,硕士 博士,欧洲,Belgium
156,3.7144089,51.04236529,BE,UGhent,根特大学,Ghent University ,http://www.geografie.ugent.be/en,比利时,硕士 博士,欧洲,Belgium
157,9.2284298,45.47772196,IT,POLIMI,米兰理工大学,Polytechnic University of Milan,https://www.gisgeolab.polimi.it/,意大利,硕士 博士,欧洲,Italy
158,-6.2210083,53.30339012,IR,UC Dublin,国立都柏林大学,University College Dublin,https://www.ucd.ie/geography/,爱尔兰,硕士 博士,欧洲,Ireland
159,-6.6002941,53.38332837,IR,MU,梅努斯大学,Maynooth University,https://www.maynoothuniversity.ie/national-centre-geocomputation-ncg,爱尔兰,硕士 博士,欧洲,Ireland
160,114.1897488,22.27702442,HK,CUHK,香港中文大学,Chinese University of Hong Kong,https://www.grm.cuhk.edu.hk/eng/index.html,中国香港,硕士 博士,亚洲,HK China
161,114.172411,22.33608387,HK,CityU,香港城市大学,City University of Hong Kong,http://bccw.cityu.edu.hk/main/wp_home.asp,中国香港,硕士 博士,亚洲,HK China
162,114.2069149,22.41979621,HK,HKU,香港大学,University of Hong Kong,https://www.arch.hku.hk/programmes_/upad/,中国香港,硕士 博士,亚洲,HK China
163,114.1834831,22.33403954,HK,Baptist,香港浸会大学,Hong Kong Baptist University,http://geog.hkbu.edu.hk/,中国香港,硕士 博士,亚洲,HK China
164,114.1799641,22.3046614,HK,PolyU,香港理工大学,Hong Kong Polytechnic University,http://www.lsgi.polyu.edu.hk/,中国香港,硕士 博士,亚洲,HK China
165,114.26327,22.3363,HK,HKUST,香港科技大学,Hong Kong University of Science and Technology,https://www.envr.ust.hk/,中国香港,硕士 博士,亚洲,HK China
166,2.5841,48.8397,FR,UPEM,巴黎东马恩河谷大学,Universite Paris-Est Marne-la-Vallee,https://www.ensg.eu/?lang=fr,法国,硕士,欧洲,France
167,5.06387,47.3129,FR,UBFC,勃艮第大学,Universite Bourgogne Franche Comte,https://www.u-bourgogne.fr/organisation/laboratoires-et-entites-de-recherche/laboratoire-d-economie-de-dijon-ledi.html,法国,硕士,欧洲,France
168,1.4009,43.5791,FR,Tlse2,图卢兹第二大学,Universite Toulouse II Jean Jaures,https://geo.univ-tlse2.fr/,法国,硕士 博士,欧洲,France
169,-1.70505,48.1179,FR,UR2,雷恩第二大学,University of Rennes 2,https://international.univ-rennes2.fr/structure/department-geography-and-spatial-planning,法国,硕士 博士,欧洲,France
170,4.3917,45.4261,FR,USE,圣埃蒂安大学,Jean Monnet University of Saint-Etienne,https://fac-shs.univ-st-etienne.fr/fr/departements/geographie.html,法国,硕士,欧洲,France
171,7.055,43.6244,FR,UCA,蔚蓝海岸大学,University of Côte d’Azur,http://web.univ-cotedazur.fr//en/idex/formations-idex/risks#.X3UUQGhKhPY,法国,硕士,欧洲,France
172,126.99141,37.5882,SK,SKKU,成均馆大学,Sungkyunkwan University,https://enc.skku.edu/eng_enc/programs/departments/civil_intro.do#N,韩国,硕士 博士,亚洲,South Korea
173,127.0255,37.59079,SK,KU,高丽大学,Korea University,https://www.egisrs.org/,韩国,硕士 博士,亚洲,South Korea
174,126.917,37.3918,SK,Anyang,安养大学,Anyang University,http://www.anyang.ac.kr/urban/contents/contents.do?ciIdx=522&menuId=847,韩国,硕士 博士,亚洲,South Korea
175,128.7982,35.9023,SK,KIU,庆一大学,Kyungil University,http://geosat.kiu.ac.kr/,韩国,硕士 博士,亚洲,South Korea
176,126.9325,37.4565,SK,SNU,首尔大学,Seoul National University,https://cee.snu.ac.kr/english/index.php,韩国,硕士 博士,亚洲,South Korea
177,127.0565,37.5838,SK,UOS,首尔市立大学,University of Seoul,https://www.uos.ac.kr/en/academics/colleges/cuscience/geolnformatics/introduction.do?epTicket=LOG,韩国,硕士 博士,亚洲,South Korea
178,126.9363,37.56578,SK,Yonsei,延世大学,Yonsei University,http://scsi.yonsei.ac.kr/,韩国,硕士 博士,亚洲,South Korea
179,14.4213,50.0871,CZ,CUNI,查尔斯大学,Charles University,https://www.natur.cuni.cz/geografie/studium?set_language=cs,捷克,硕士 博士,欧洲,Cezck
180,17.24916,49.5948,CZ,UPOL,帕拉茨基大学,"Palacky University, Olomouc",http://www.geoinformatics.upol.cz/en/department-of-geoinformatics,捷克,硕士 博士,欧洲,Cezck
181,19.0563,47.4905,HU,ELTE,罗兰大学,Eotvos Lorand University,http://lazarus.elte.hu/index.html,匈牙利,硕士 博士,欧洲,Hungary
